index,title,company,skills,location,posted_date,type,salary
202,Data Analyst,Vaco Technology,Data Analyst,"Kennesaw, GA",4/14/2023,Contract: W2,
203,Senior Data Analyst,Confidential Company,Data Analyst,"Boston, MA",4/14/2023,"Contract: W2, 2 Month(s)",Depends on Experience
204,Data Analyst,Michael Page International,Data Analyst,"Manhattan, NY",4/5/2023,Contract: W2,$55 - $62 per hour
205,Data Analyst,ITECCO Limited,Data Analyst,"Austin, TX",4/5/2023,Full Time,$110000 - $140000 per annum
206,Data Analyst,Randstad Technologies,Data Analyst,"Boston, MA",4/2/2023,Full Time,"USD100,000 - USD120,000"
207,Data Analyst (Metadata),Experis,Data Analyst (Metadata),"Charlotte, NC",4/15/2023,Contract: W2,
208,Business Systems Analyst /Data Analyst,Canopy One Solutions Inc,"Business Systems Analyst, Data Analyst-","Ofallon, MO",4/14/2023,"Contract: Independent, Corp-To-Corp, W2, long term",
209,Data Analyst,Michael Page International,Data Analyst,"Manhattan, NY",3/29/2023,Contract: W2,$55 - $62 per hour
210,Senior Data Analyst,Geopaq Logic,"Data Analyst, data modelling","Ridgefield Park, NJ",4/6/2023,"Contract: Independent, W2, 12 Month(s)",Depends on Experience
211,Data Analyst II,Experis,Data Analyst II,"Plymouth, MN",4/8/2023,Contract: W2,
212,System Data Analyst,Alpha Silicon,System Data Analyst,Remote,4/11/2023,Remote,
213,Data Analyst (MS Excel),Randstad Technologies,Data Analyst (MS Excel),"Remote or San Jose, CA",4/10/2023,Remote or Onsite,USD25 - USD30
214,Business / Data Analyst,Randstad Technologies,Business / Data Analyst,"Boston, MA",4/12/2023,Contract: W2,USD50 - USD60
215,Data Analyst,"New Resources Consulting, LLC","B2B, Data Analyst, data governance, relational databasesCloud, Power BI, snowflake","Dane County, WI",4/12/2023,Full Time,Depends on Experience
216,Data Analyst,U.S. Tech Solutions Inc.,Data Analyst,Remote,3/24/2023,Remote,Depends on Experience
217,Business Data Analyst,"Softpath System, LLC.","Business analyst, Data Analyst",Remote,4/5/2023,Remote,Depends on Experience
218,Business Data Analyst,"Javen Technologies, Inc","Data Analyst, securities, data management, SQL, Data analysis","Fort Mill, SC",4/10/2023,Contract: W2,$30 - $40
219,Data Analyst,INNOVIT USA INC,"SSIS, SQL Server, t-sql, Data Analyst, data models",,4/3/2023,"Contract: Corp-To-Corp, 6",$50 
220,Data Analyst/DBA,"International Logic Systems, Inc. (ILS)","Computer Science, Data Analyst, DBA, Oracle","Washington D.C., DC",4/14/2023,Full Time,Depends on Experience
221,IT Data Analyst,Randstad Technologies,IT Data Analyst,"Remote or Overland Park, KS",4/4/2023,Remote or Onsite,USD50 - USD70
222,Interim Data Analyst,Accede Solutions Inc,"DATA ANALYST, INTERIM DATA ANALYST, MMIS, DATALYNX, DMP, INFOR LAWSON, SUPPLY CHAIN KPIS, NURSING PAR OPTIMIZATION","Elmira, NY",4/14/2023,"Full Time, Contract: W2, Independent",BASED ON EXPERIENCE
223,Healthcare Data Analyst (REMOTE),Blue Stone Staffing,"Data Analyst, Community Health, regulatory compliance",Remote,4/14/2023,Remote,"$70,000 - $95,000"
224,Marketing Data Analyst - REMOTE,FRG Technology Consulting,Marketing Data Analyst - REMOTE,"Tampa, FL",4/12/2023,Full Time,
225,Data Analyst,R2 Info,"Data Analyst, Data Science, DevOps, Tableau, data warehousing, data mappings, data analysis",Remote,4/5/2023,Remote,"$90,000 - $110,000"
226,Data Analyst,Honu Services,Data Analyst,"Silver Spring, MD",3/18/2023,Full Time,
227,Data Analyst,Crescent Solutions Inc,"Data Analyst, SQL, Excel, Tableau, Power BI, Data Analysis, data mapping, data integration, validate data","Century City, CA",4/7/2023,Full Time,"$80,000+"
228,Sr. Data Analyst,"Softworld, Inc.",Sr. Data Analyst,"Leominster, MA",3/31/2023,Full Time,
229,Data Analyst,"Tek Ryders, LLC","Data Analyst, MS Word, Tableau, Excel, SQL, POWERBI",Remote,4/10/2023,Remote,Depends on Experience
230,Technology Data Analyst,Enterprise Engineering,"Financial Industry, Data Analyst, Tableau, analytical skills","New York, NY",4/7/2023,"Contract: W2, Corp-To-Corp",Depends on Experience
231,Business Data Analyst,"IT Trailblazers, LLC","powerbi, Analysis, business Data Analyst","Las Vegas, Nevada",4/7/2023,Full Time,Depends on Experience
232,FINANCIAL Data Analyst,"Digital Intelligence Systems, LLC",FINANCIAL Data Analyst,"Washington, DC",3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 24 month(s)",
233,Data Analyst - Remote / Telecommute,Cynet Systems,"Data Analyst, Preparing reports, code, data - analysis, data governance, process improvement","Phoenix, AZ",4/11/2023,"Contract: Corp-To-Corp, W2, Independent",Depends on Experience
234,Healthcare Data Analyst - Onsite,"Resourcesoft, Inc.","Data Analyst, Excel, Healthcare, Microsoft","Springfield, MA",4/14/2023,Full Time,Depends on Experience
235,Cyber Recovery Data Analyst,Randstad Technologies,Cyber Recovery Data Analyst,,4/10/2023,Contract: W2,USD8 - USD9
236,Data Analyst,Ascendion Inc.,"data analyst, SQL, data wrangling, JIRA, adobe, tableau","San Antonio, TX",4/6/2023,"Contract: W2, Full-time",USD10.0000 - USD40.0000
237,Capital Markets Data Analyst,Experis,Capital Markets Data Analyst,"Charlotte, NC",4/6/2023,Contract: W2,
238,Data Analyst,"Softpath System, LLC.","Data Analyst, Tableau, SQL Server, SQL, SSIS, T - SQL, data mining","Richmond, VA",3/31/2023,"Contract: W2, Corp-To-Corp, 12 Month(s)",Depends on Experience
239,Senior Data Analyst - Montvale NJ,Nigel Frank International,Senior Data Analyst - Montvale NJ,"Montvale, NJ",4/14/2023,Full Time,$120000 - $130000 per annum
240,Data Analyst,"Pyramid Consulting, Inc.","Data Analyst, Python, SQL, Tableau, AWS, Airflow, Shell Scripting","Richmond, VA",4/7/2023,"Contract: W2, 08 Month(s)",$40 - $45
241,Business / Data Analyst (Charlotte),Matlen Silver,"business analyst, data analyst, stakeholders, risks","Charlotte, NC",4/5/2023,Full Time,USD50 - USD53 per hour
242,Data Analyst,CSG,"Data Analyst, Excel, MS Office, MS SQL, SQL, data analysis, data collection, data conversion, data management, data governance, quality improvement, project management, business analysis, communication skills",Remote,4/6/2023,Remote,Depends on Experience
243,System Data Analyst,PETADATA,"Data Analyst, IT support, SAS, Software Development, communication skills, excellent communication, software engineering","Atlanta, GA",4/14/2023,Full Time,Depends on Experience
244,Data Analyst,Ascendion Inc.,"Remote, Data Analyst, SQL, Healthcare","Minneapolis, MN",3/21/2023,Full Time,USD50.0000 - USD60.0000
245,Data Analyst,"IT Trailblazers, LLC","Access, Data Analyst, Information Systems, Power BI, public health, regulatory compliance, system analysis","Boston, MA",4/7/2023,"Contract: W2, 6 Month(s)",$20 - $50
246,Senior Data Analyst,McKinsol Consulting Inc,"Data Analyst, Informatica, Researching, SAS, data mapping, research","Deerfield Beach, FL",4/4/2023,"Contract: W2, 12 Month(s)",Depends on Experience
247,Jr Data Analyst,Wimmer Solutions,"Data Analyst, Power BI, business intelligence",Remote,3/24/2023,Remote,Up to $35
248,BI Data Analyst (Insurance),MDMS Recruiting,"Data Analyst, Data Analysis, Business Intelligence, PowerBI, SQL, T-SQL, Power Automate, PowerAutomate",Remote,4/10/2023,Remote,$50 - $80
249,Data Analyst - SCM,NR Consulting LLC,"Alteryx, Data Analyst, Data integration, GSM, SAP, Tableau, computer science, data management, data science, information systems, systems management","Auburn Hills, MI",4/6/2023,"Contract: W2, 12 Month(s)",$45 - $49.3
250,Data Scientist-100% Remote only W2 Allowed,Jade Biz Services,"Python, Data Scientist, Databricks",Remote,3/28/2023,Remote,
251,Data Scientist,"Engage Partners, Inc.","AI, Data Scientist, Python, ad - hoc analysis, analytical skills, cloud - based architecture, communication skills, computer science, machine learning, physics, predictive models, verbal communication","New York, NY",3/27/2023,Full Time,Depends on Experience
252,Data Scientist,Darwin Recruitment,Data Engineering,"Chicago, IL, IL",4/15/2023,Full Time,$100000.00 - $120000.00 per annum
253,Data Scientist,ABN TECH CORP,"Python, Machine learning, Arima, Sarima, Data Scien*","San Francisco, CA",4/14/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$60 - $70
254,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",Remote,4/13/2023,Remote,Depends on Experience
255,Senior Data Scientist with Python,"Pyramid Consulting, Inc.","data scientist, Python, AI, ML","Irving, TX",3/16/2023,"Contract: W2, Independent, Corp-To-Corp, 30 Month(s)",$70 - $90
256,Data Scientist w/ MMM or MTA,Randstad Technologies,Data Scientist w/ MMM or MTA,"San Bruno, CA",3/24/2023,Contract: W2,USD60 - USD80
257,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance metrics, Data pre-processing, Neural or NLP, AB testing","Remote or Remote, WI",4/14/2023,Remote or Onsite,USD Depends on Experience
258,"Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance",EMW Staffing Solutions LLC,"Geospatial, Data Scientist, ESRI","Springfield, VA",3/28/2023,Full Time,"$85,000 - $130,000"
259,Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist.,"Pyramid Consulting, Inc.","Data Analyst, Data Scientist, ETL, PowerBI, Tableau",Remote,4/6/2023,Remote,"$100,000 - $120,000"
260,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BIGQUERY, SCIENTIST, vertex AI","Remote or San Jose, CA",4/13/2023,Remote or Onsite,
261,"Data Scientist, Candidates Must be local to Georgia",Taras Technology LLC,"Data Scientist, NLP, Deep learning, text mining, Probabilistic, PySpark, Java, Hadoop, Hive, Spark","Alpharetta, GA",4/14/2023,"Contract: W2, Corp-To-Corp, 8 Month(s)",$65 - $70
262,Data Scientist,"Zachary Piper Solutions, LLC",,"McLean, VA",4/15/2023,Full Time,
263,Lead Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, Artificial Intelligence, Business Intelligence, NLP, ETL, AI, Data Scientist, Database",Remote,3/20/2023,Remote,Depends on Experience
264,"Data Scientist w/database technologies, including Oracle, SAP, DB2, Teradata, SQL Server, SAP HANA, MySQL 100% Remote",Zeektek,"Data Scientist, Python, Teradata, Oracle, SQL Server, Data Science",Remote,4/14/2023,Remote,$70 - $75
265,Data Scientist,Eliassen Group,,"Charlotte, NC",4/13/2023,Contract: W2,
266,"Data Scientist - Hybrid onsite (Tampa, FL)",Xoriant Corporation,"Data Science/Data Scientist, Machine Learning/ML, NLP, Oracle, Python/R, SQL, Big DAta, Data analyst","Tampa, FL",3/23/2023,"Contract: W2, 12 Month(s)",$80 - $85
267,Staff Data Scientist,High Country Search Group,"Data Science, PHD, MLOps, NLP","New York, NY",4/11/2023,Full Time,"$170,000 - $215,000"
268,"Data Scientist (Machine Learning) || Sunnyvale, CA (Onsite from Day1) || Contract",Spar Information Systems,"Python, Machine Learning, Data Scientist, Scikit Learn, Arima, SARIMA, prophet, LSTM, pandas, Pytorch","Sunnyvale, CA",4/14/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",
269,Data Scientist,Yash Solutions LLC,"Data Scientist, Machine Learning, Python, AWS, Sagemaker, Athena, Glue, SQL","Greenville, SC",2/28/2023,Contract: W2,Depends on Experience
270,Data Scientist,Kforce Technology Staffing,,"Remote or Cincinnati, OH",4/13/2023,Remote or Onsite,$47 - $51 hourly
271,Data Scientist,IT Concepts Inc,"statistical analysis, machine learning, ML model, Natural Language Processing, NLP, SQL, advanced queries, Python, SAS, R Program, Enterprise Data, data manipulation, data visualization, Data Analytics, Tableau, Data Scientist, Data Science","Woodlawn, MD",3/2/2023,Full Time,"$100,000 - $140,000"
272,Data Scientist,Kforce Technology Staffing,,"Remote or Redmond, WA",4/11/2023,Remote or Onsite,$55 - $70 hourly
273,Data Scientist,Peterson Technology Partners,"Data Mining, Data Science, Decision Trees, Keras, NLTK, Natural Gas, Machine Learning, Text Mining, TensorFlow, modeling / data",Remote,3/31/2023,Remote,Depends on Experience
274,Data Analyst- Machine Learning / Data scientist,Purple Drive Technologies LLC,"C +, Clustering, C + +, D3 . js, Data Scientist, Decision Trees, Machine Learning, Data Analyst, Generalized Linear Model, Deep Learning, Neural Networks, Hadoop, K - Means, Matplotlib, MATLAB, NoSQL, MongoDB, Java, D3, SQL, analytical skills, Plotly, Tableau, attention to detail, data structures, Qlik, Python, data visualization, data modeling, unsupervised, Regression, R, data mining, database design, Scala, naive Bayes, statistical analyses, statistical analysis, unsupervised machine learning","Austin, TX",4/11/2023,Full Time,Depends on Experience
275,Data Scientist - Fulltime,CitiusTech,"data science, Elastic Search, MongoDB, multivariate testing, predictive analytics, statistical analysis, Pandas, Pig, Python, Scala, data modeling, machine learning",Remote,4/11/2023,Remote,Depends on Experience
276,AI Data Scientist,Meridianservices LLC.,Data Scientist,"Dallas, TX",2/9/2023,Full Time,Depends on Experience
277,Data Scientist,Indotronix International Corp,"Analytics, Python, sql, data science","Portland, OR",4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110
278,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis, Data Scientists, Hadoop, Java, Kafka, Natural Language Processing, PowerBI, Python, R, project management, project plans, SPSS Modeler, SPSS, Scala, Tableau, data analysis, SAS",Remote,3/6/2023,Remote,Depends on Experience
279,Data Scientist,Apex Systems,,"Richmond, VA",4/6/2023,Full Time,
280,Data Scientist - NLP,ADDSOURCE,"Python, SQL, Kafka, NLP, DATA SCIENCE","Remote or Jersey City, NJ",4/11/2023,Remote or Onsite,
281,Data Scientist,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
282,Sr Data Scientist,"ATR International, Inc.",,"San Mateo, CA",4/14/2023,Full Time,
283,Contract Data Scientist,ALTA IT Services,"power bi, tableau, cloud computing, automated pipeline building, data modeling, SQL, Python","Cincinnati, OH",4/6/2023,Contract: W2,Up to $80
284,,,,,,,
285,,,,,,,
286,Data Scientist,Xcelo Group Inc,,"Remote or Dallas, TX",4/4/2023,Remote or Onsite,
287,,,,,,,
288,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical","CHICAGO, IL",4/14/2023,Full Time,$100000.00 to $125000.00 yearly
289,,,,,,,
290,,,,,,,
291,Data Scientist,Dew Software,"Data Scientist, Machine Learning, communication skills, data architecture, problem - solving skills, Python, data engineering",Remote,2/14/2023,Remote,Depends on Experience
292,Data Scientist 2,Kforce Technology Staffing,,"Remote or Redmond, WA",4/10/2023,Remote or Onsite,$40 - $52 hourly
293,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting","Princeton, NJ",4/13/2023,"Contract: Corp-To-Corp, W2, Independent",
294,,,,,,,
295,,,,,,,
296,Data Scientist Lead,Wipro Ltd.,,"Tampa, FL",4/14/2023,Full Time,
297,Data Scientist,Odesus,"AI, Artificial intelligence, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, TensorFlow, Kafka, Spark, Hadoop","Los Angeles, CA",4/10/2023,Full Time,"$120,000 - $175,000"
298,Senior Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
299,Lead Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
300,Data Scientist,Jobot,,"New York, NY",4/4/2023,Full Time,"$120,000 - $140,000 per year"
301,Data Scientist II,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
302,Data Scientist,Robert Half,"SQL, Excel, Python","Cherry Hill, NJ",4/9/2023,Full Time,$100000.00 to $120000.00 yearly
303,Data Scientist,Motion Recruitment,,"Houston , TX",3/29/2023,Full Time,
304,Data Scientist,Maddisoft,,"Houston, TX",3/28/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",
305,Senior Microbiome Data Scientist,Motion Recruitment,,,4/13/2023,Full Time,
306,Data Scientist,Apex Systems,,"Indianapolis, IN",3/28/2023,Full Time,
307,Data Scientist,ApTask,"python, sql, bert, nlp",Remote,4/11/2023,Remote,$60 - $70
308,Data Scientist (Energy Preferred),Jobot,,"Herndon, VA",4/12/2023,Full Time,"$140,000 - $170,000 per year"
309,Data Scientist (HDIP) - Hybrid,Irvine Technology Corporation (ITC),,"Los Angeles, CA",4/11/2023,Full Time,"USD120,000 - USD175,000"
310,Data Scientist Advisor,Kforce Technology Staffing,,"Remote or Fairfax, VA",4/3/2023,Remote or Onsite,$59.50 - $80.50 hourly
311,,,,,,,
312,Data Scientist,E-Deft,,,3/28/2023,"Contract: Corp-To-Corp, W2, Independent",
313,Data Scientist Senior,SAIC,"Research, Laboratory, Modeling, Computer, Engineering, Python, Security","MONTEREY, CA",4/13/2023,Full Time,
314,Data Scientist,Novateur Technologies Inc.,"Statistical modeling, Bayesian model, impact model","Dallas, TX",4/4/2023,"Contract: Corp-To-Corp, Independent, W2, 6 Month(s)",Depends on Experience
315,AVP & Data Scientist,Travelers,,"Hartford, CT",4/12/2023,Full Time,"$164,600.00 - $271,500.00"
316,,,,,,,
317,,,,,,,
318,Data Scientist,Global Data Consultants,,"Carlisle, PA",3/24/2023,Full Time,
319,Senior Data Scientist,Aerospace Corporation,,"Chantilly, VA",4/6/2023,Full Time,
320,Scientific - Data Scientist,Net2Source Inc.,Please refer to job description,"Lawrenceville, NJ",4/12/2023,"Contract: W2, Independent, 8+ mo(s)",$1 - $64.28 hr
321,Data Scientist (TS/SCI with Full Scope Poly),Jefferson Frank,"AI, ML, Data","Falls Church, VA",4/12/2023,Full Time,$200000 - $220000 per annum
322,Sr. Data Scientist,Atyeti,"Python, AWS, Scala, Spark","Washington D.C., DC",4/10/2023,"Contract: W2, Independent, Corp-To-Corp, 24 Month(s)",$70 - $80
323,Sr. Data Scientist,Atyeti,"Python, Scala, Spark, Machine Learning, AWS",Remote,4/10/2023,Remote,Depends on Experience
324,Sr. Data Scientist I,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
325,Data Scientist,TEKHiring,"Machine Learning, Data Science, Random Forest, NLP, Python","Austin, TX",3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50
326,Data Scientist,Robert Half,"Python, Mathematical","JOHNSTON, IA",4/4/2023,"Contract: Independent, W2",
327,Sr Data Scientist,W3Global,"Machine Learning, Python, SQL, Neural Networks, (Natural Language Processing/Computer Vision), Tensorflow, PyTorch, SkLearn, REST APIs, Docker/Kubernetes, Azure/AWS clouds","Santa Clara, CA",4/12/2023,Full Time,USD120000.0/ANNUAL - USD160000.0/ANNUAL
328,Senior Data Scientist - Geospatial,Darwin Recruitment,Data Science,"Dallas, TX",3/21/2023,Full Time,$140000.00 - $180000.00 per annum
329,Principle Data Scientist,ADDSOURCE,"Kafka, Hadoop, Machine Learning, Docker, AI solution","Remote or Jersey City, NJ",4/10/2023,Remote or Onsite,
330,Senior Data Scientist - Telematics,"Capgemini America, Inc.","Telematics, Python, snowflake, oracle, AWS services","Hartford, CT",4/11/2023,Full Time,Depends on Experience
331,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers,,"Hartford, CT",4/14/2023,Full Time,"$121,700.00 - $200,800.00"
332,Senior Data Scientist III,"Korn Ferry/RELX, Inc. RPO",legal,Remote,4/11/2023,Remote,Depends on Experience
333,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Irvine , CA",4/7/2023,Full Time,
334,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
335,Data Scientist - Fortune 500 Company,Motion Recruitment,,"San Diego, CA",4/7/2023,Full Time,
336,Data Scientist,Veear,"NLP, SQL, Tableau","Sunnyvale, CA",3/24/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$45 - $90
337,Data Scientist,Info Dinamica Inc,"Machine Learning, Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, Tracking., Regression, Unsupervised Learning, PCA.","Santa Clara, CA",3/28/2023,"Contract: Independent, W2, Corp-To-Corp, 13 day((s))",
338,Data Scientist - ML - Computer Vision,Eliassen Group,,"Charlotte, NC",4/7/2023,Contract: W2,
339,Data Scientist,FirstParty,"Python, SQL",Remote,3/24/2023,Remote,$70 - $90
340,Data Scientist - Data Analyst,Chobanian Group,"Tableau, SQL, Python","Sunnyvale, CA",4/13/2023,"Contract: W2, Independent",$80 - $90
341,Data Scientist,MAXAR Technologies,,"Arlington, VA",3/13/2023,Full Time,
342,Actuarial Data Scientist - Remote,Amica,,"Remote or Lincoln, RI",3/28/2023,Remote or Onsite,See Job Description
343,,,,,,,
344,Data Scientist,Apex Systems,,"Lenexa, KS",3/14/2023,Full Time,
345,Sr. Data Scientist,Concentrix Catalyst,Network,Remote,4/1/2023,Remote,
346,Data Scientist II,"firstPRO, Inc","Sql, R, Python",Remote,3/29/2023,Remote,"$90,000 - $120,000"
347,Data Scientist,"SystemDomain, Inc.",,"Hartford, CT",3/9/2023,"Full Time, Part Time, Contract: W2, Corp-To-Corp, Independent",
348,Data Scientist / ML/AI / Chemistry / Manufacturing,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
349,Sr Data Scientist,SHOP.COM / Market America,"PyTorch, Tensorflow, scikit-learn, Python, SQL",Remote,3/27/2023,Remote,Depends on Experience
350,,,,,,,
351,Data Scientist Only on W2 - (Initially REMOTE),Xcelo Group Inc,,Remote,4/10/2023,Remote,
352,,,,,,,
353,Senior Data Scientist (US Remote Eligible),General Mills,,"Minneapolis, MN",4/4/2023,Full Time,Depends on Experience
354,Senior Data Scientist,Eliassen Group,,"Charlotte, NC",3/16/2023,Contract: W2,
355,Data Scientist (Remote),Surya Systems,"SQL, Python, data scientist",Remote,1/13/2023,Remote,$Market
356,IT|Data Analysis - Data Scientist I,Stellar Consulting Solutions,,"Santa Clara, CA",3/27/2023,"Contract: W2, Corp-To-Corp, Independent, 5 month(s)",
357,Data Scientist,AccruePartners,"Python, Domino",,3/16/2023,Contract: W2,
358,Data Scientist/Optical Physicist - Direct Hire,Kelly,"Computer, Engineering, Python, Embedded, Developer, IT","Denver, CO",4/13/2023,Full Time,
359,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting","Lisle, IL",3/23/2023,Full Time,
360,Data Scientist / ML/AI/ Chemical Engineering / Manufacturing,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
361,Data Scientist/ Masters or PhD required,Motion Recruitment,,"Salt Lake City, AZ",4/5/2023,Full Time,
362,,,,,,,
363,Data Scientist,Motion Recruitment,,"Arlington, VA",3/3/2023,Full Time,
364,Data Scientist,Eliassen Group,,"Stamford, CT",3/2/2023,Contract: W2,
365,Data Scientist,EKIN Solutions Inc,"Machine Learning, Hadoop Ecosystem, Spark",Remote,3/16/2023,Remote,"$100,000 - $140,000"
366,Senior Data Scientist,Centraprise Corp,"Python, Data Science, Artificial Intelligence, Natural Language Processing",,3/2/2023,"Full Time, Contract: W2",$DOE
367,"Lead Data Scientist, Underwriting",New York Life Insurance Company,"Artificial Intelligence, Analytical, IT, Python, SQL, Oracle, Sales, Foundation",Remote,3/27/2023,Remote,
368,Remote Data Scientist,Apex Systems,,"Johnston, IA",3/10/2023,Full Time,
369,R Developer/ Data Scientist,Quantum Vision LLC,R,"Jersey City, NJ",3/30/2023,"Contract: W2, Corp-To-Corp, Independent, 12 month(s)",
370,Data Scientist/Analyst,Software Guidance & Assistance,,"San Francisco, CA",3/9/2023,"Contract: W2, Corp-To-Corp, Independent",$90.0 - $105.0
371,Data Scientist,Robert Half,"IT, Engineering, Computer, SQL, Python, Analysis, Networks","Houston, TX",3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly
372,Data Scientist - Cyber,"ConsultNet, LLC","Director, Computer, Physics, Engineering, Python, SQL, AWS","Rockville, MD",3/16/2023,Full Time,
373,Jr. Data Scientist,Skilltune,"emass, xacta","New York, NY",3/20/2023,"Contract: W2, 14 Month(s)",$40 - $55
374,,,,,,,
375,,,,,,,
376,"Lead Data Scientist at Reston, Virginia (Initial Remote)","KMM Technologies, Inc","HADOOP, Analytics, AWS, ML, Hive","Remote or Reston, VA",4/13/2023,Remote or Onsite,
377,Senior Data Scientist Health and Wellness DTC Consumer Product Company,Motion Recruitment,,"Watertown, MA",4/8/2023,Full Time,
378,Data Analyst/Scientist (Oracle),World Wide Technology,"Data Scientist, oracle",Remote,4/5/2023,Remote,Depends on Experience
379,,,,,,,
380,Data Scientist 3,HII Mission Technologies,,"San Antonio, TX",3/2/2023,Full Time,
381,Data Scientist / Data Analyst,"firstPRO, Inc",R,"Camden, NJ",3/22/2023,Full Time,"$80,000 - $100,000"
382,Data Scientist - Hybrid,Benchmark IT- Technology Talent,"Data science, STEM, AI, ML, DS, Python, R, Matlab, Tensorflow, Tesseract, PyTorch, Keras, CI/CD, AWS, Azure, GCP, Github, BitBucket, Google Colab, Kaggle, Communication","Greenwich, CT",2/28/2023,Full Time,Depends on Experience
383,Adtech Data Scientist - 100% Remote in US,Motion Recruitment,,"Boston, MA",4/3/2023,Full Time,
384,Data Scientist (Hybrid Onsite 2 days a week),Xoriant Corporation,"Python, Unix, Oracle","Tampa, FL",4/5/2023,"Contract: Independent, W2, 12 Month(s)",$70 - $80
385,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting","Houston, TX",3/11/2023,Full Time,
386,Data Scientist/ Agronomic Development,Motion Recruitment,,"Philadelphia, PA",3/4/2023,Full Time,
387,Data Scientist,Motion Recruitment,,"San Diego , CA",2/15/2023,Full Time,
388,Data Scientist,Motion Recruitment,,"Carlsbad, CA",2/15/2023,Full Time,
389,Data Scientist,Motion Recruitment,,"Torrance , CA",2/15/2023,Full Time,
390,Data Scientist,Motion Recruitment,,"Los Angeles, CA",2/14/2023,Full Time,
391,Data Scientist,Motion Recruitment,,"Irvine , CA",2/14/2023,Full Time,
392,Data Scientist,SAIC,"Management, Systems, Python, NLP","MACDILL AFB, FL",2/24/2023,Full Time,
393,Data Scientist,AccruePartners,"IT, Engineers, Engineering, Computer, Systems, Python, SQL","Fort Mill, SC",2/24/2023,Full Time,
394,Jr. Machine Learning Data Scientist,"K2 Partnering Solutions, Inc.","python, machine learning",Remote,3/13/2023,Remote,$50 - $60
395,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
396,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Lake Mary, FL",2/23/2023,Full Time,
397,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
398,Data Scientist / Hybrid in Dallas,Motion Recruitment,,"Dallas, TX",3/7/2023,Full Time,
399,Data Scientist (TS/SCI w/ poly),Motion Recruitment,,"Washington, DC",3/3/2023,Full Time,
400,Data Engineer,Beacon Hill Technologies,Data Engineer,Remote,4/12/2023,Remote,
401,Data Engineer,Experis,Data Engineer,"Englewood, CO",4/12/2023,Contract: W2,$60 - $77 per hour
402,Data Engineer,Randstad Technologies,Data Engineer,"Addison, TX",4/14/2023,Contract: W2,USD58 - USD68
403,Data Engineer,Randstad Technologies,Data Engineer,"Remote or Atlanta, GA",4/10/2023,Remote or Onsite,USD40 - USD50
404,Data Engineer,Randstad Technologies,Data Engineer,"Remote or Atlanta, GA",4/10/2023,Remote or Onsite,USD40 - USD50
405,Data Engineer,Precision Resource Group Limited,Data Engineer,Remote,4/9/2023,Remote,$160000 - $180000 per annum
406,Data Engineer,Infinite Computer Solutions (ICS),Data Engineer,"Ashburn, VA",4/12/2023,Contract: W2,$60 - $70
